1,2
0,40
1,41
2,42
3,43
4,44
5,45
6,46
7,47
8,48
9,49
10,50
11,51
12,52
13,53
14,54
15,55
16,56
17,57
18,58
19,59
20,60
21,61
22,62
23,63
24,64
25,65
26,66
27,67
28,68
29,69
30,70
31,71
32,72
33,73
34,74
35,75
36,76
37,77
38,78
39,79
80,120
81,121
82,122
83,123
84,124
85,125
86,126
87,127
88,128
89,129
90,130
91,131
92,132
93,133
94,134
95,135
96,136
97,137
98,138
99,139
100,140
101,141
102,142
103,143
104,144
105,145
106,146
107,147
108,148
109,149
110,150
111,151
112,152
113,153
114,154
115,155
116,156
117,157
118,158
119,159
160,200
161,201
162,202
163,203
164,204
165,205
166,206
167,207
168,208
169,209
170,210
171,211
172,212
173,213
174,214
175,215
176,216
177,217
178,218
179,219
180,220
181,221
182,222
183,223
184,224
185,225
186,226
187,227
188,228
189,229
190,230
191,231
192,232
193,233
194,234
195,235
196,236
197,237
198,238
199,239
240,280
241,281
242,282
243,283
244,284
245,285
246,286
247,287
248,288
249,289
250,290
251,291
252,292
253,293
254,294
255,295
256,296
257,297
258,298
259,299
260,300
261,301
262,302
263,303
264,304
265,305
266,306
267,307
268,308
269,309
270,310
271,311
272,312
273,313
274,314
275,315
276,316
277,317
278,318
279,319
